Criteria,AutoACMG Kappa,Intervar Kappa,Genebe Kappa
PVS1,0.9310800105624505,0.23623304070231443,0.9770266701874835
PS1,0.7316195372750642,0.0,0.8059118795315114
PM1,0.09160756501182021,0.31848474219572087,0.9708542713567839
PM2,-0.48275862068965525,0.5172413793103448,0.7471264367816092
PM4,0.7444933920704846,0.0,1.0
PM5,0.7010951256173502,0.10181559273762897,0.9252737814043376
PP2,0.0,-0.06075635461872286,0.9708542713567839
PP3,0.4648399273032294,0.6068431245965138,1.0
BA1,0.23358908780903676,0.08255498644169934,0.9490134791951553
BS1,-0.053537284894837445,-0.07407407407407396,0.9169054441260744
BS2,0.031180400890868598,0.0882819942838996,0.9744793194485186
BP1,0.0,0.32445923460898496,1.0
BP3,0.0,0.0,1.0
BP4,-0.32652068126520684,0.6089887640449438,1.0
BP7,0.5091678420310296,0.7834474175482266,1.0
