Metric,AutoACMG True Positives Ratio,Intervar True Positives Ratio,Genebe True Positives Ratio,AutoACMG False Negatives Ratio,Intervar False Negatives Ratio,Genebe False Negatives Ratio,AutoACMG False Positives Ratio,Intervar False Positives Ratio,Genebe False Positives Ratio
Mean,0.5325759775454897,0.5297401277584204,0.7993491095625243,0.5081204026325978,0.6209712543554008,0.4657931668602401,0.46314605110336826,0.7213100077429346,0.7445097754548974
Standard Deviation,0.24117279290485438,0.2603119798365418,0.2483299419055121,0.5011760653133037,0.23378639825344064,0.2807942554294868,0.2392757525875982,0.6090829958773831,0.9277528619945339
Median,0.5,0.5,1.0,0.3333333333333333,0.6,0.3333333333333333,0.4,0.5,0.3333333333333333
Q1 (25th percentile),0.3333333333333333,0.3333333333333333,0.6,0.2,0.5,0.25,0.3333333333333333,0.3333333333333333,0.2
Q3 (75th percentile),0.6666666666666666,0.6666666666666666,1.0,0.6,0.7625,0.6,0.5,1.0,0.75
IQR,0.3333333333333333,0.3333333333333333,0.4,0.39999999999999997,0.26249999999999996,0.35,0.16666666666666669,0.6666666666666667,0.55
